id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332430158,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,91185.0,3834.0,Memorial Stadium,158,Nebraska,Big Ten,37.0,"[10, 7, 14, 6]",0.9386880761180496,1613.0,1611.0,2751,Wyoming,Mountain West,34.0,"[7, 7, 7, 13]",0.0613119238819505,1384.0,1386.0,5.48214469388389,,
332430021,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,42978.0,3932.0,Qualcomm Stadium,21,San Diego State,Mountain West,19.0,"[13, 3, 3, 0]",0.5903646345143266,,,2197,Eastern Illinois,,40.0,"[7, 12, 7, 14]",0.4096353654856733,,,6.02703881438784,,
332430167,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,26311.0,3971.0,University Stadium,167,New Mexico,Mountain West,13.0,"[6, 7, 0, 0]",0.3145410887033331,1249.0,1242.0,2636,UT San Antonio,Conference USA,21.0,"[0, 7, 7, 7]",0.6854589112966669,1351.0,1358.0,4.51661321424213,,
332430066,2013,1,regular,2013-09-01T00:00:00.000Z,,False,False,56800.0,3772.0,Jack Trice Stadium,66,Iowa State,Big 12,20.0,"[7, 7, 6, 0]",0.7418523342134885,,,2460,Northern Iowa,,28.0,"[7, 14, 0, 7]",0.2581476657865115,,,5.60319144031818,,
332432628,2013,1,regular,2013-09-01T01:00:00.000Z,,True,False,80230.0,,,2628,TCU,Big 12,27.0,"[3, 7, 7, 10]",0.4346015074617749,1648.0,1647.0,99,LSU,SEC,37.0,"[6, 10, 14, 7]",0.5653984925382252,1827.0,1828.0,6.58972222073384,,
332430264,2013,1,regular,2013-09-01T02:00:00.000Z,,False,False,71963.0,3765.0,Husky Stadium,264,Washington,Pac-12,38.0,"[7, 3, 14, 14]",0.9682940636642708,1512.0,1631.0,68,Boise State,Mountain West,6.0,"[0, 3, 3, 0]",0.0317059363357292,1738.0,1619.0,4.01614843576143,,
332430026,2013,1,regular,2013-09-01T02:00:00.000Z,,False,False,60562.0,1056.0,Rose Bowl,26,UCLA,Pac-12,58.0,"[7, 10, 20, 21]",0.9907043185914456,1617.0,1717.0,2440,Nevada,Mountain West,20.0,"[3, 10, 0, 7]",0.0092956814085544,1551.0,1451.0,3.70529285513133,,
332430025,2013,1,regular,2013-09-01T02:30:00.000Z,,False,False,58816.0,3831.0,California Memorial Stadium,25,California,Pac-12,30.0,"[7, 3, 14, 6]",0.3966896528517509,1388.0,1378.0,77,Northwestern,Big Ten,44.0,"[7, 10, 10, 17]",0.603310347148249,1624.0,1634.0,6.93273119983976,,
332440097,2013,1,regular,2013-09-01T19:30:00.000Z,,False,False,55332.0,3873.0,Papa John's Cardinal Stadium,97,Louisville,American Athletic,49.0,"[14, 14, 14, 7]",0.9910107342677184,1593.0,1700.0,195,Ohio,Mid-American,7.0,"[0, 0, 7, 0]",0.0089892657322816,1475.0,1368.0,2.22175758615416,,
332440036,2013,1,regular,2013-09-01T22:00:00.000Z,,True,False,59601.0,,,36,Colorado State,Mountain West,27.0,"[0, 10, 14, 3]",0.6424317474564323,1321.0,1279.0,38,Colorado,Pac-12,41.0,"[10, 10, 3, 18]",0.3575682525435677,1141.0,1183.0,5.59869120841663,,
332450221,2013,1,regular,2013-09-03T00:00:00.000Z,,False,True,65500.0,3752.0,Heinz Field,221,Pittsburgh,ACC,13.0,"[7, 3, 3, 0]",0.3118392713198297,1578.0,1530.0,52,Florida State,ACC,41.0,"[7, 21, 6, 7]",0.6881607286801703,1818.0,1866.0,2.97973044505426,,
332480151,2013,2,regular,2013-09-05T23:30:00.000Z,,False,True,37533.0,3699.0,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,31.0,"[7, 14, 10, 0]",0.9641925443206916,1448.0,1469.0,2226,Florida Atlantic,Conference USA,13.0,"[3, 3, 0, 7]",0.0358074556793084,1240.0,1219.0,2.79743878370551,,
332480009,2013,2,regular,2013-09-06T02:00:00.000Z,,False,False,55743.0,3947.0,Sun Devil Stadium,9,Arizona State,Pac-12,55.0,"[14, 28, 10, 3]",0.99972863525533,,,16,Sacramento State,,0.0,"[0, 0, 0, 0]",0.0002713647446699,,,1.31197087180326,,
332492229,2013,2,regular,2013-09-07T00:00:00.000Z,,False,False,15823.0,218.0,FIU Stadium,2229,Florida International,Conference USA,0.0,"[0, 0, 0, 0]",0.1679522462955556,1290.0,1229.0,2116,UCF,American Athletic,38.0,"[7, 17, 14, 0]",0.8320477537044444,1681.0,1742.0,1.85860620813819,,
332490103,2013,2,regular,2013-09-07T00:00:00.000Z,,False,True,32465.0,3615.0,Alumni Stadium,103,Boston College,ACC,24.0,"[10, 7, 7, 0]",0.889489775298998,1383.0,1404.0,154,Wake Forest,ACC,10.0,"[7, 0, 0, 3]",0.110510224701002,1293.0,1272.0,2.84034966781482,,
332500218,2013,2,regular,2013-09-07T16:00:00.000Z,,False,True,27328.0,3806.0,Lincoln Financial Field,218,Temple,American Athletic,13.0,"[6, 7, 0, 0]",0.7163943438607159,1426.0,1407.0,248,Houston,American Athletic,22.0,"[3, 6, 6, 7]",0.2836056561392841,1421.0,1440.0,8.46106235828654,,
332500356,2013,2,regular,2013-09-07T16:00:00.000Z,,False,False,43031.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,45.0,"[7, 14, 7, 17]",0.8001681313761595,1286.0,1420.0,2132,Cincinnati,American Athletic,17.0,"[0, 7, 10, 0]",0.1998318686238405,1725.0,1591.0,3.45757144169394,,
332502309,2013,2,regular,2013-09-07T16:00:00.000Z,,False,True,22758.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,22.0,"[8, 14, 0, 0]",0.3640071821121829,1536.0,1489.0,189,Bowling Green,Mid-American,41.0,"[7, 17, 10, 7]",0.6359928178878171,1543.0,1590.0,4.982775173726,,
332502390,2013,2,regular,2013-09-07T16:00:00.000Z,,False,False,76968.0,3948.0,Hard Rock Stadium,2390,Miami,ACC,21.0,"[14, 0, 0, 7]",0.4268464840610993,1622.0,1633.0,57,Florida,SEC,16.0,"[6, 0, 3, 7]",0.5731535159389007,1760.0,1749.0,3.74207511939018,,
